occurrences	io_formula	display_formula
1	[1,96]([1,102]([6,16],[5,2,"6"],[1,115](),[1,102]([1,12]([1,95]([6,1247],[5,2,"30"])),[5,2,"1"],[1,115](),[1,102]([1,12]([6,1247]),[5,2,"-1"],[1,102]([6,16],[5,2,"3"],[6,19],[5,2,"4"],[6,19],[1,115]()),[6,19]))),[6,20])	DECODE(Dz Knkozvb,6,NULL,DECODE(SIGN(Doub6-30),1,NULL,DECODE(SIGN(Doub6),-1,DECODE(Dz Knkozvb,3,W Dsqlhttj,4,W Dsqlhttj,NULL),W Dsqlhttj)))*Zi Chbblh
1	[1,96]([1,102]([6,16],[5,2,"6"],[1,115](),[1,102]([1,12]([1,95]([6,1247],[5,2,"60"])),[5,2,"1"],[1,115](),[1,102]([1,12]([1,95]([6,1247],[5,2,"30"])),[5,2,"1"],[6,19],[1,115]()))),[6,20])	DECODE(Dz Knkozvb,6,NULL,DECODE(SIGN(Doub6-60),1,NULL,DECODE(SIGN(Doub6-30),1,W Dsqlhttj,NULL)))*Zi Chbblh
1	[1,96]([1,102]([6,16],[5,2,"6"],[1,115](),[1,102]([1,12]([1,95]([6,1247],[5,2,"90"])),[5,2,"1"],[1,115](),[1,102]([1,12]([1,95]([6,1247],[5,2,"60"])),[5,2,"1"],[6,19],[1,115]()))),[6,20])	DECODE(Dz Knkozvb,6,NULL,DECODE(SIGN(Doub6-90),1,NULL,DECODE(SIGN(Doub6-60),1,W Dsqlhttj,NULL)))*Zi Chbblh
1	[1,96]([1,102]([6,16],[5,2,"6"],[1,115](),[1,102]([1,12]([1,95]([6,1249],[5,2,"180"])),[5,2,"1"],[1,115](),[1,102]([1,12]([1,95]([6,1249],[5,2,"150"])),[5,2,"1"],[6,17],[1,115]()))),[6,20])	DECODE(Rz,6,NULL,DECODE(SIGN(Doub6-180),1,NULL,DECODE(SIGN(Doub6-150),1,W Dsqlhttj,NULL)))*Zi Chbblh
1	[1,96]([1,102]([6,16],[5,2,"6"],[1,115](),[1,102]([1,12]([1,95]([6,1251],[5,2,"180"])),[5,2,"1"],[6,17],[1,115]())),[6,20])	DECODE(Rz,6,NULL,DECODE(SIGN(Doub6-180),1,W Dsqlhttj,NULL))*Zi Chbblh
1	[1,96]([1,102]([6,16],[5,2,"6"],[1,115](),[1,102]([1,12]([1,95]([6,1251],[5,2,"30"])),[5,2,"1"],[1,115](),[1,102]([1,12]([6,1251]),[5,2,"-1"],[1,115](),[6,17]))),[6,20])	DECODE(Rz,6,NULL,DECODE(SIGN(Doub6-30),1,NULL,DECODE(SIGN(Doub6),-1,NULL,W Dsqlhttj)))*Zi Chbblh
1	[1,96]([1,102]([6,16],[5,2,"6"],[1,115](),[1,102]([1,12]([1,95]([6,1253],[5,2,"120"])),[5,2,"1"],[1,115](),[1,102]([1,12]([1,95]([6,1253],[5,2,"90"])),[5,2,"1"],[6,17],[1,115]()))),[6,20])	DECODE(Rz,6,NULL,DECODE(SIGN(Doub6-120),1,NULL,DECODE(SIGN(Doub6-90),1,W Dsqlhttj,NULL)))*Zi Chbblh
1	[1,96]([1,102]([6,16],[5,2,"6"],[1,115](),[1,102]([1,12]([1,95]([6,1253],[5,2,"150"])),[5,2,"1"],[1,115](),[1,102]([1,12]([1,95]([6,1253],[5,2,"120"])),[5,2,"1"],[6,17],[1,115]()))),[6,20])	DECODE(Rz,6,NULL,DECODE(SIGN(Doub6-150),1,NULL,DECODE(SIGN(Doub6-120),1,W Dsqlhttj,NULL)))*Zi Chbblh
1	[1,96]([1,102]([6,16],[5,2,"6"],[1,115](),[1,102]([1,12]([1,95]([6,1253],[5,2,"180"])),[5,2,"1"],[1,115](),[1,102]([1,12]([1,95]([6,1253],[5,2,"150"])),[5,2,"1"],[6,17],[1,115]()))),[6,20])	DECODE(Rz,6,NULL,DECODE(SIGN(Doub6-180),1,NULL,DECODE(SIGN(Doub6-150),1,W Dsqlhttj,NULL)))*Zi Chbblh
1	[1,96]([1,102]([6,16],[5,2,"6"],[1,115](),[1,102]([1,12]([1,95]([6,1253],[5,2,"180"])),[5,2,"1"],[6,17],[1,115]())),[6,20])	DECODE(Rz,6,NULL,DECODE(SIGN(Doub6-180),1,W Dsqlhttj,NULL))*Zi Chbblh
1	[1,96]([1,102]([6,16],[5,2,"6"],[1,115](),[1,102]([1,12]([1,95]([6,1253],[5,2,"30"])),[5,2,"1"],[1,115](),[1,102]([1,12]([6,1253]),[5,2,"-1"],[1,102]([6,16],[5,2,"3"],[6,17],[5,2,"4"],[6,17],[1,115]()),[6,17]))),[6,20])	DECODE(Rz,6,NULL,DECODE(SIGN(Doub6-30),1,NULL,DECODE(SIGN(Doub6),-1,DECODE(Rz,3,W Dsqlhttj,4,W Dsqlhttj,NULL),W Dsqlhttj)))*Zi Chbblh
1	[1,96]([1,102]([6,16],[5,2,"6"],[1,115](),[1,102]([1,12]([1,95]([6,1253],[5,2,"30"])),[5,2,"1"],[1,115](),[1,102]([1,12]([6,1253]),[5,2,"-1"],[1,115](),[6,19]))),[6,20])	DECODE(Dz Knkozvb,6,NULL,DECODE(SIGN(Doub6-30),1,NULL,DECODE(SIGN(Doub6),-1,NULL,W Dsqlhttj)))*Zi Chbblh
1	[1,96]([1,102]([6,16],[5,2,"6"],[1,115](),[1,102]([1,12]([1,95]([6,1253],[5,2,"60"])),[5,2,"1"],[1,115](),[1,102]([1,12]([1,95]([6,1253],[5,2,"30"])),[5,2,"1"],[6,17],[1,115]()))),[6,20])	DECODE(Rz,6,NULL,DECODE(SIGN(Doub6-60),1,NULL,DECODE(SIGN(Doub6-30),1,W Dsqlhttj,NULL)))*Zi Chbblh
1	[1,96]([1,102]([6,16],[5,2,"6"],[1,115](),[1,102]([1,12]([1,95]([6,1253],[5,2,"90"])),[5,2,"1"],[1,115](),[1,102]([1,12]([1,95]([6,1253],[5,2,"60"])),[5,2,"1"],[6,17],[1,115]()))),[6,20])	DECODE(Rz,6,NULL,DECODE(SIGN(Doub6-90),1,NULL,DECODE(SIGN(Doub6-60),1,W Dsqlhttj,NULL)))*Zi Chbblh
1	[1,96]([1,102]([6,16],[5,2,"6"],[1,115](),[1,102]([1,12]([1,95]([6,1255],[5,2,"30"])),[5,2,"1"],[1,115](),[1,102]([1,12]([6,1255]),[5,2,"-1"],[1,115](),[6,17]))),[6,20])	DECODE(Rz,6,NULL,DECODE(SIGN(Doub6-30),1,NULL,DECODE(SIGN(Doub6),-1,NULL,W Dsqlhttj)))*Zi Chbblh
1	[1,96]([1,102]([6,16],[5,2,"6"],[1,115](),[1,102]([1,12]([1,95]([6,1256],[5,2,"30"])),[5,2,"1"],[1,115](),[1,102]([1,12]([6,1256]),[5,2,"-1"],[1,102]([6,16],[5,2,"3"],[6,19],[5,2,"4"],[6,19],[1,115]()),[6,19]))),[6,20])	DECODE(Dz Knkozvb,6,NULL,DECODE(SIGN(Doub6-30),1,NULL,DECODE(SIGN(Doub6),-1,DECODE(Dz Knkozvb,3,W Dsqlhttj,4,W Dsqlhttj,NULL),W Dsqlhttj)))*Zi Chbblh
1	[1,96]([1,102]([6,16],[5,2,"6"],[1,115](),[1,102]([1,12]([1,95]([6,1256],[5,2,"30"])),[5,2,"1"],[1,115](),[1,102]([1,12]([6,1256]),[5,2,"-1"],[1,115](),[6,19]))),[6,20])	DECODE(Dz Knkozvb,6,NULL,DECODE(SIGN(Doub6-30),1,NULL,DECODE(SIGN(Doub6),-1,NULL,W Dsqlhttj)))*Zi Chbblh
1	[1,96]([1,102]([6,16],[5,2,"6"],[1,115](),[1,102]([1,12]([1,95]([6,1259],[5,2,"60"])),[5,2,"1"],[1,115](),[1,102]([1,12]([1,95]([6,1259],[5,2,"30"])),[5,2,"1"],[6,17],[1,115]()))),[6,20])	DECODE(Rz,6,NULL,DECODE(SIGN(Doub6-60),1,NULL,DECODE(SIGN(Doub6-30),1,W Dsqlhttj,NULL)))*Zi Chbblh
1	[1,96]([1,102]([6,16],[5,2,"6"],[1,115](),[1,102]([1,12]([1,95]([6,1261],[5,2,"90"])),[5,2,"1"],[1,115](),[1,102]([1,12]([1,95]([6,1261],[5,2,"60"])),[5,2,"1"],[6,17],[1,115]()))),[6,20])	DECODE(Rz,6,NULL,DECODE(SIGN(Doub6-90),1,NULL,DECODE(SIGN(Doub6-60),1,W Dsqlhttj,NULL)))*Zi Chbblh
1	[1,96]([1,102]([6,16],[5,2,"6"],[1,115](),[1,102]([1,12]([1,95]([6,1262],[5,2,"120"])),[5,2,"1"],[1,115](),[1,102]([1,12]([1,95]([6,1262],[5,2,"90"])),[5,2,"1"],[6,17],[1,115]()))),[6,20])	DECODE(Rz,6,NULL,DECODE(SIGN(Doub6-120),1,NULL,DECODE(SIGN(Doub6-90),1,W Dsqlhttj,NULL)))*Zi Chbblh
1	[1,96]([1,102]([6,16],[5,2,"6"],[1,115](),[1,102]([1,12]([1,95]([6,1262],[5,2,"150"])),[5,2,"1"],[1,115](),[1,102]([1,12]([1,95]([6,1262],[5,2,"120"])),[5,2,"1"],[6,17],[1,115]()))),[6,20])	DECODE(Rz,6,NULL,DECODE(SIGN(Doub6-150),1,NULL,DECODE(SIGN(Doub6-120),1,W Dsqlhttj,NULL)))*Zi Chbblh
1	[1,96]([1,102]([6,16],[5,2,"6"],[1,115](),[1,102]([1,12]([1,95]([6,1262],[5,2,"180"])),[5,2,"1"],[1,115](),[1,102]([1,12]([1,95]([6,1262],[5,2,"150"])),[5,2,"1"],[6,17],[1,115]()))),[6,20])	DECODE(Rz,6,NULL,DECODE(SIGN(Doub6-180),1,NULL,DECODE(SIGN(Doub6-150),1,W Dsqlhttj,NULL)))*Zi Chbblh
1	[1,96]([1,102]([6,16],[5,2,"6"],[1,115](),[1,102]([1,12]([1,95]([6,1262],[5,2,"180"])),[5,2,"1"],[6,17],[1,115]())),[6,20])	DECODE(Rz,6,NULL,DECODE(SIGN(Doub6-180),1,W Dsqlhttj,NULL))*Zi Chbblh
1	[1,96]([1,102]([6,16],[5,2,"6"],[1,115](),[1,102]([1,12]([1,95]([6,1262],[5,2,"30"])),[5,2,"1"],[1,115](),[1,102]([1,12]([6,1262]),[5,2,"-1"],[1,102]([6,16],[5,2,"3"],[6,17],[5,2,"4"],[6,17],[1,115]()),[6,17]))),[6,20])	DECODE(Rz,6,NULL,DECODE(SIGN(Doub6-30),1,NULL,DECODE(SIGN(Doub6),-1,DECODE(Rz,3,W Dsqlhttj,4,W Dsqlhttj,NULL),W Dsqlhttj)))*Zi Chbblh
1	[1,96]([1,102]([6,16],[5,2,"6"],[1,115](),[1,102]([1,12]([1,95]([6,1262],[5,2,"60"])),[5,2,"1"],[1,115](),[1,102]([1,12]([1,95]([6,1262],[5,2,"30"])),[5,2,"1"],[6,17],[1,115]()))),[6,20])	DECODE(Rz,6,NULL,DECODE(SIGN(Doub6-60),1,NULL,DECODE(SIGN(Doub6-30),1,W Dsqlhttj,NULL)))*Zi Chbblh
1	[1,96]([1,102]([6,16],[5,2,"6"],[1,115](),[1,102]([1,12]([1,95]([6,1262],[5,2,"90"])),[5,2,"1"],[1,115](),[1,102]([1,12]([1,95]([6,1262],[5,2,"60"])),[5,2,"1"],[6,17],[1,115]()))),[6,20])	DECODE(Rz,6,NULL,DECODE(SIGN(Doub6-90),1,NULL,DECODE(SIGN(Doub6-60),1,W Dsqlhttj,NULL)))*Zi Chbblh
1	[1,96]([1,102]([6,16],[5,2,"6"],[1,115](),[1,102]([1,12]([1,95]([6,1263],[5,2,"120"])),[5,2,"1"],[1,115](),[1,102]([1,12]([1,95]([6,1263],[5,2,"90"])),[5,2,"1"],[6,17],[1,115]()))),[6,20])	DECODE(Rz,6,NULL,DECODE(SIGN(Doub6-120),1,NULL,DECODE(SIGN(Doub6-90),1,W Dsqlhttj,NULL)))*Zi Chbblh
1	[1,96]([1,102]([6,16],[5,2,"6"],[1,115](),[1,102]([1,12]([1,95]([6,1265],[5,2,"150"])),[5,2,"1"],[1,115](),[1,102]([1,12]([1,95]([6,1265],[5,2,"120"])),[5,2,"1"],[6,17],[1,115]()))),[6,20])	DECODE(Rz,6,NULL,DECODE(SIGN(Doub6-150),1,NULL,DECODE(SIGN(Doub6-120),1,W Dsqlhttj,NULL)))*Zi Chbblh
1	[1,96]([1,102]([6,16],[5,2,"6"],[1,115](),[1,102]([1,12]([1,95]([6,1265],[5,2,"30"])),[5,2,"1"],[1,115](),[1,102]([1,12]([6,1265]),[5,2,"-1"],[1,102]([6,16],[5,2,"3"],[6,19],[5,2,"4"],[6,19],[1,115]()),[6,19]))),[6,20])	DECODE(Dz Knkozvb,6,NULL,DECODE(SIGN(Doub6-30),1,NULL,DECODE(SIGN(Doub6),-1,DECODE(Dz Knkozvb,3,W Dsqlhttj,4,W Dsqlhttj,NULL),W Dsqlhttj)))*Zi Chbblh
1	[1,96]([1,102]([6,16],[5,2,"6"],[1,115](),[1,102]([1,12]([1,95]([6,1265],[5,2,"30"])),[5,2,"1"],[1,115](),[1,102]([1,12]([6,1265]),[5,2,"-1"],[1,115](),[6,19]))),[6,20])	DECODE(Dz Knkozvb,6,NULL,DECODE(SIGN(Doub6-30),1,NULL,DECODE(SIGN(Doub6),-1,NULL,W Dsqlhttj)))*Zi Chbblh
1	[1,96]([1,102]([6,16],[5,2,"6"],[1,115](),[1,102]([1,12]([1,95]([6,1267],[5,2,"180"])),[5,2,"1"],[1,115](),[1,102]([1,12]([1,95]([6,1267],[5,2,"150"])),[5,2,"1"],[6,17],[1,115]()))),[6,20])	DECODE(Rz,6,NULL,DECODE(SIGN(Doub6-180),1,NULL,DECODE(SIGN(Doub6-150),1,W Dsqlhttj,NULL)))*Zi Chbblh
1	[1,96]([1,102]([6,16],[5,2,"6"],[1,115](),[1,102]([1,12]([1,95]([6,1269],[5,2,"180"])),[5,2,"1"],[6,17],[1,115]())),[6,20])	DECODE(Rz,6,NULL,DECODE(SIGN(Doub6-180),1,W Dsqlhttj,NULL))*Zi Chbblh
1	[1,96]([1,102]([6,16],[5,2,"6"],[1,115](),[1,102]([1,12]([1,95]([6,126],[5,2,"120"])),[5,2,"1"],[1,115](),[1,102]([1,12]([1,95]([6,126],[5,2,"90"])),[5,2,"1"],[6,17],[1,115]()))),[6,20])	DECODE(Dz Knkozvb,6,NULL,DECODE(SIGN(Doub6-120),1,NULL,DECODE(SIGN(Doub6-90),1,W Dsqlhttj,NULL)))*Zi Chbblh
1	[1,96]([1,102]([6,16],[5,2,"6"],[1,115](),[1,102]([1,12]([1,95]([6,126],[5,2,"150"])),[5,2,"1"],[1,115](),[1,102]([1,12]([1,95]([6,126],[5,2,"120"])),[5,2,"1"],[6,17],[1,115]()))),[6,20])	DECODE(Dz Knkozvb,6,NULL,DECODE(SIGN(Doub6-150),1,NULL,DECODE(SIGN(Doub6-120),1,W Dsqlhttj,NULL)))*Zi Chbblh
1	[1,96]([1,102]([6,16],[5,2,"6"],[1,115](),[1,102]([1,12]([1,95]([6,126],[5,2,"180"])),[5,2,"1"],[1,115](),[1,102]([1,12]([1,95]([6,126],[5,2,"150"])),[5,2,"1"],[6,17],[1,115]()))),[6,20])	DECODE(Dz Knkozvb,6,NULL,DECODE(SIGN(Doub6-180),1,NULL,DECODE(SIGN(Doub6-150),1,W Dsqlhttj,NULL)))*Zi Chbblh
1	[1,96]([1,102]([6,16],[5,2,"6"],[1,115](),[1,102]([1,12]([1,95]([6,126],[5,2,"180"])),[5,2,"1"],[6,17],[1,115]())),[6,20])	DECODE(Dz Knkozvb,6,NULL,DECODE(SIGN(Doub6-180),1,W Dsqlhttj,NULL))*Zi Chbblh
1	[1,96]([1,102]([6,16],[5,2,"6"],[1,115](),[1,102]([1,12]([1,95]([6,126],[5,2,"30"])),[5,2,"1"],[1,115](),[1,102]([1,12]([6,126]),[5,2,"-1"],[1,115](),[6,17]))),[6,20])	DECODE(Dz Knkozvb,6,NULL,DECODE(SIGN(Doub6-30),1,NULL,DECODE(SIGN(Doub6),-1,NULL,W Dsqlhttj)))*Zi Chbblh
1	[1,96]([1,102]([6,16],[5,2,"6"],[1,115](),[1,102]([1,12]([1,95]([6,126],[5,2,"60"])),[5,2,"1"],[1,115](),[1,102]([1,12]([1,95]([6,126],[5,2,"30"])),[5,2,"1"],[6,17],[1,115]()))),[6,20])	DECODE(Dz Knkozvb,6,NULL,DECODE(SIGN(Doub6-60),1,NULL,DECODE(SIGN(Doub6-30),1,W Dsqlhttj,NULL)))*Zi Chbblh
1	[1,96]([1,102]([6,16],[5,2,"6"],[1,115](),[1,102]([1,12]([1,95]([6,126],[5,2,"90"])),[5,2,"1"],[1,115](),[1,102]([1,12]([1,95]([6,126],[5,2,"60"])),[5,2,"1"],[6,17],[1,115]()))),[6,20])	DECODE(Dz Knkozvb,6,NULL,DECODE(SIGN(Doub6-90),1,NULL,DECODE(SIGN(Doub6-60),1,W Dsqlhttj,NULL)))*Zi Chbblh
1	[1,96]([1,102]([6,16],[5,2,"6"],[1,115](),[1,102]([1,12]([1,95]([6,1273],[5,2,"120"])),[5,2,"1"],[1,115](),[1,102]([1,12]([1,95]([6,1273],[5,2,"90"])),[5,2,"1"],[6,17],[1,115]()))),[6,20])	DECODE(Rz,6,NULL,DECODE(SIGN(Doub6-120),1,NULL,DECODE(SIGN(Doub6-90),1,W Dsqlhttj,NULL)))*Zi Chbblh
1	[1,96]([1,102]([6,16],[5,2,"6"],[1,115](),[1,102]([1,12]([1,95]([6,1273],[5,2,"150"])),[5,2,"1"],[1,115](),[1,102]([1,12]([1,95]([6,1273],[5,2,"120"])),[5,2,"1"],[6,17],[1,115]()))),[6,20])	DECODE(Rz,6,NULL,DECODE(SIGN(Doub6-150),1,NULL,DECODE(SIGN(Doub6-120),1,W Dsqlhttj,NULL)))*Zi Chbblh
1	[1,96]([1,102]([6,16],[5,2,"6"],[1,115](),[1,102]([1,12]([1,95]([6,1273],[5,2,"180"])),[5,2,"1"],[1,115](),[1,102]([1,12]([1,95]([6,1273],[5,2,"150"])),[5,2,"1"],[6,17],[1,115]()))),[6,20])	DECODE(Rz,6,NULL,DECODE(SIGN(Doub6-180),1,NULL,DECODE(SIGN(Doub6-150),1,W Dsqlhttj,NULL)))*Zi Chbblh
1	[1,96]([1,102]([6,16],[5,2,"6"],[1,115](),[1,102]([1,12]([1,95]([6,1273],[5,2,"180"])),[5,2,"1"],[6,17],[1,115]())),[6,20])	DECODE(Rz,6,NULL,DECODE(SIGN(Doub6-180),1,W Dsqlhttj,NULL))*Zi Chbblh
1	[1,96]([1,102]([6,16],[5,2,"6"],[1,115](),[1,102]([1,12]([1,95]([6,1273],[5,2,"30"])),[5,2,"1"],[1,115](),[1,102]([1,12]([6,1273]),[5,2,"-1"],[1,102]([6,16],[5,2,"3"],[6,17],[5,2,"4"],[6,17],[1,115]()),[6,17]))),[6,20])	DECODE(Rz,6,NULL,DECODE(SIGN(Doub6-30),1,NULL,DECODE(SIGN(Doub6),-1,DECODE(Rz,3,W Dsqlhttj,4,W Dsqlhttj,NULL),W Dsqlhttj)))*Zi Chbblh
1	[1,96]([1,102]([6,16],[5,2,"6"],[1,115](),[1,102]([1,12]([1,95]([6,1273],[5,2,"60"])),[5,2,"1"],[1,115](),[1,102]([1,12]([1,95]([6,1273],[5,2,"30"])),[5,2,"1"],[6,17],[1,115]()))),[6,20])	DECODE(Rz,6,NULL,DECODE(SIGN(Doub6-60),1,NULL,DECODE(SIGN(Doub6-30),1,W Dsqlhttj,NULL)))*Zi Chbblh
1	[1,96]([1,102]([6,16],[5,2,"6"],[1,115](),[1,102]([1,12]([1,95]([6,1273],[5,2,"90"])),[5,2,"1"],[1,115](),[1,102]([1,12]([1,95]([6,1273],[5,2,"60"])),[5,2,"1"],[6,17],[1,115]()))),[6,20])	DECODE(Rz,6,NULL,DECODE(SIGN(Doub6-90),1,NULL,DECODE(SIGN(Doub6-60),1,W Dsqlhttj,NULL)))*Zi Chbblh
1	[1,96]([1,102]([6,16],[5,2,"6"],[1,115](),[1,102]([1,12]([1,95]([6,1274],[5,2,"30"])),[5,2,"1"],[1,115](),[1,102]([1,12]([6,1274]),[5,2,"-1"],[1,102]([6,16],[5,2,"3"],[6,19],[5,2,"4"],[6,19],[1,115]()),[6,19]))),[6,20])	DECODE(Dz Knkozvb,6,NULL,DECODE(SIGN(Doub6-30),1,NULL,DECODE(SIGN(Doub6),-1,DECODE(Dz Knkozvb,3,W Dsqlhttj,4,W Dsqlhttj,NULL),W Dsqlhttj)))*Zi Chbblh
1	[1,96]([1,102]([6,16],[5,2,"6"],[1,115](),[1,102]([1,12]([1,95]([6,1274],[5,2,"30"])),[5,2,"1"],[1,115](),[1,102]([1,12]([6,1274]),[5,2,"-1"],[1,115](),[6,19]))),[6,20])	DECODE(Dz Knkozvb,6,NULL,DECODE(SIGN(Doub6-30),1,NULL,DECODE(SIGN(Doub6),-1,NULL,W Dsqlhttj)))*Zi Chbblh
1	[1,96]([1,102]([6,16],[5,2,"6"],[1,115](),[1,102]([1,12]([1,95]([6,1278],[5,2,"30"])),[5,2,"1"],[1,115](),[1,102]([1,12]([6,1278]),[5,2,"-1"],[1,115](),[6,17]))),[6,20])	DECODE(Rz,6,NULL,DECODE(SIGN(Doub6-30),1,NULL,DECODE(SIGN(Doub6),-1,NULL,W Dsqlhttj)))*Zi Chbblh
1	[1,96]([1,102]([6,16],[5,2,"6"],[1,115](),[1,102]([1,12]([1,95]([6,1282],[5,2,"120"])),[5,2,"1"],[1,115](),[1,102]([1,12]([1,95]([6,1282],[5,2,"90"])),[5,2,"1"],[6,17],[1,115]()))),[6,20])	DECODE(Rz,6,NULL,DECODE(SIGN(Doub6-120),1,NULL,DECODE(SIGN(Doub6-90),1,W Dsqlhttj,NULL)))*Zi Chbblh
1	[1,96]([1,102]([6,16],[5,2,"6"],[1,115](),[1,102]([1,12]([1,95]([6,1282],[5,2,"150"])),[5,2,"1"],[1,115](),[1,102]([1,12]([1,95]([6,1282],[5,2,"120"])),[5,2,"1"],[6,17],[1,115]()))),[6,20])	DECODE(Rz,6,NULL,DECODE(SIGN(Doub6-150),1,NULL,DECODE(SIGN(Doub6-120),1,W Dsqlhttj,NULL)))*Zi Chbblh
1	[1,96]([1,102]([6,16],[5,2,"6"],[1,115](),[1,102]([1,12]([1,95]([6,1282],[5,2,"180"])),[5,2,"1"],[1,115](),[1,102]([1,12]([1,95]([6,1282],[5,2,"150"])),[5,2,"1"],[6,17],[1,115]()))),[6,20])	DECODE(Rz,6,NULL,DECODE(SIGN(Doub6-180),1,NULL,DECODE(SIGN(Doub6-150),1,W Dsqlhttj,NULL)))*Zi Chbblh
1	[1,96]([1,102]([6,16],[5,2,"6"],[1,115](),[1,102]([1,12]([1,95]([6,1282],[5,2,"180"])),[5,2,"1"],[6,17],[1,115]())),[6,20])	DECODE(Rz,6,NULL,DECODE(SIGN(Doub6-180),1,W Dsqlhttj,NULL))*Zi Chbblh
1	[1,96]([1,102]([6,16],[5,2,"6"],[1,115](),[1,102]([1,12]([1,95]([6,1282],[5,2,"30"])),[5,2,"1"],[1,115](),[1,102]([1,12]([6,1282]),[5,2,"-1"],[1,102]([6,16],[5,2,"3"],[6,17],[5,2,"4"],[6,17],[1,115]()),[6,17]))),[6,20])	DECODE(Rz,6,NULL,DECODE(SIGN(Doub6-30),1,NULL,DECODE(SIGN(Doub6),-1,DECODE(Rz,3,W Dsqlhttj,4,W Dsqlhttj,NULL),W Dsqlhttj)))*Zi Chbblh
1	[1,96]([1,102]([6,16],[5,2,"6"],[1,115](),[1,102]([1,12]([1,95]([6,1282],[5,2,"30"])),[5,2,"1"],[1,115](),[1,102]([1,12]([6,1282]),[5,2,"-1"],[1,115](),[6,17]))),[6,20])	DECODE(Rz,6,NULL,DECODE(SIGN(Doub6-30),1,NULL,DECODE(SIGN(Doub6),-1,NULL,W Dsqlhttj)))*Zi Chbblh
1	[1,96]([1,102]([6,16],[5,2,"6"],[1,115](),[1,102]([1,12]([1,95]([6,1282],[5,2,"60"])),[5,2,"1"],[1,115](),[1,102]([1,12]([1,95]([6,1282],[5,2,"30"])),[5,2,"1"],[6,17],[1,115]()))),[6,20])	DECODE(Rz,6,NULL,DECODE(SIGN(Doub6-60),1,NULL,DECODE(SIGN(Doub6-30),1,W Dsqlhttj,NULL)))*Zi Chbblh
1	[1,96]([1,102]([6,16],[5,2,"6"],[1,115](),[1,102]([1,12]([1,95]([6,1282],[5,2,"90"])),[5,2,"1"],[1,115](),[1,102]([1,12]([1,95]([6,1282],[5,2,"60"])),[5,2,"1"],[6,17],[1,115]()))),[6,20])	DECODE(Rz,6,NULL,DECODE(SIGN(Doub6-90),1,NULL,DECODE(SIGN(Doub6-60),1,W Dsqlhttj,NULL)))*Zi Chbblh
1	[1,96]([1,102]([6,16],[5,2,"6"],[1,115](),[1,102]([1,12]([1,95]([6,1283],[5,2,"120"])),[5,2,"1"],[1,115](),[1,102]([1,12]([1,95]([6,1283],[5,2,"90"])),[5,2,"1"],[6,19],[1,115]()))),[6,20])	DECODE(Dz Knkozvb,6,NULL,DECODE(SIGN(Doub6-120),1,NULL,DECODE(SIGN(Doub6-90),1,W Dsqlhttj,NULL)))*Zi Chbblh
1	[1,96]([1,102]([6,16],[5,2,"6"],[1,115](),[1,102]([1,12]([1,95]([6,1283],[5,2,"150"])),[5,2,"1"],[1,115](),[1,102]([1,12]([1,95]([6,1283],[5,2,"120"])),[5,2,"1"],[6,19],[1,115]()))),[6,20])	DECODE(Dz Knkozvb,6,NULL,DECODE(SIGN(Doub6-150),1,NULL,DECODE(SIGN(Doub6-120),1,W Dsqlhttj,NULL)))*Zi Chbblh
1	[1,96]([1,102]([6,16],[5,2,"6"],[1,115](),[1,102]([1,12]([1,95]([6,1283],[5,2,"180"])),[5,2,"1"],[1,115](),[1,102]([1,12]([1,95]([6,1283],[5,2,"150"])),[5,2,"1"],[6,19],[1,115]()))),[6,20])	DECODE(Dz Knkozvb,6,NULL,DECODE(SIGN(Doub6-180),1,NULL,DECODE(SIGN(Doub6-150),1,W Dsqlhttj,NULL)))*Zi Chbblh
1	[1,96]([1,102]([6,16],[5,2,"6"],[1,115](),[1,102]([1,12]([1,95]([6,1283],[5,2,"180"])),[5,2,"1"],[6,19],[1,115]())),[6,20])	DECODE(Dz Knkozvb,6,NULL,DECODE(SIGN(Doub6-180),1,W Dsqlhttj,NULL))*Zi Chbblh
1	[1,96]([1,102]([6,16],[5,2,"6"],[1,115](),[1,102]([1,12]([1,95]([6,1283],[5,2,"60"])),[5,2,"1"],[1,115](),[1,102]([1,12]([1,95]([6,1283],[5,2,"30"])),[5,2,"1"],[6,19],[1,115]()))),[6,20])	DECODE(Dz Knkozvb,6,NULL,DECODE(SIGN(Doub6-60),1,NULL,DECODE(SIGN(Doub6-30),1,W Dsqlhttj,NULL)))*Zi Chbblh
1	[1,96]([1,102]([6,16],[5,2,"6"],[1,115](),[1,102]([1,12]([1,95]([6,1283],[5,2,"90"])),[5,2,"1"],[1,115](),[1,102]([1,12]([1,95]([6,1283],[5,2,"60"])),[5,2,"1"],[6,19],[1,115]()))),[6,20])	DECODE(Dz Knkozvb,6,NULL,DECODE(SIGN(Doub6-90),1,NULL,DECODE(SIGN(Doub6-60),1,W Dsqlhttj,NULL)))*Zi Chbblh
1	[1,96]([1,102]([6,16],[5,2,"6"],[1,115](),[1,102]([1,12]([1,95]([6,1286],[5,2,"120"])),[5,2,"1"],[1,115](),[1,102]([1,12]([1,95]([6,1286],[5,2,"90"])),[5,2,"1"],[6,19],[1,115]()))),[6,20])	DECODE(Dz Knkozvb,6,NULL,DECODE(SIGN(Doub6-120),1,NULL,DECODE(SIGN(Doub6-90),1,W Dsqlhttj,NULL)))*Zi Chbblh
